Title,Date
"Criminales en el mar","13/7/20"
"Amigas con solera","13/7/20"
"Nuit de la Glisse: Magnetismo","13/7/20"
"La película Pokémon: ¡Te elijo a ti!","8/7/20"
"Pokémon: Mewtwo contraataca — Evolución","7/7/20"
"La casa de papel: Parte 4: Game Over","7/7/20"
"Marvel - The Punisher: Temporada 2: Un mal día","2/7/20"
"Marvel - The Punisher: Temporada 2: Nakazat","2/7/20"
"Marvel - The Punisher: Temporada 2: El juego","2/7/20"
"Marvel - The Punisher: Temporada 2: Cicatrices","2/7/20"
"La orden: Temporada 2: Miedos: 1.ª parte","2/7/20"
"DEATH NOTE: Temporada 1: Impaciencia","22/6/20"
"DEATH NOTE: Temporada 1: Secuestro","22/6/20"
"DEATH NOTE: Temporada 1: Renacimiento","22/6/20"
"La orden: Temporada 2: Radicales libres: 2.ª parte","22/6/20"
"La orden: Temporada 2: Radicales libres: 1.ª parte","22/6/20"
"Dark: Temporada 1: Secretos","3/6/20"
"Outer Banks: Temporada 1: Juegos de espías","25/4/20"
"Outer Banks: Temporada 1: La zona prohibida","25/4/20"
"Outer Banks: Temporada 1: La brújula de la suerte","25/4/20"
"Jugando con fuego: Temporada 1: Deseo o dinero","19/4/20"
"Jugando con fuego: Temporada 1: Solidaridad entre mujeres","19/4/20"
"Las leyes de la termodinámica","17/4/20"
"La casa de papel: El fenómeno","10/4/20"
"La casa de papel: Parte 4: Plan París","7/4/20"
"La casa de papel: Parte 4: Tumbar la carpa","7/4/20"
"La casa de papel: Parte 4: KO técnico","7/4/20"
"La casa de papel: Parte 4: 5 minutos antes","6/4/20"
"La casa de papel: Parte 4: Suspiros de España","6/4/20"
"La casa de papel: Parte 4: Lección de anatomía","6/4/20"
"La casa de papel: Parte 4: La boda de Berlín","6/4/20"
"Violet y Finch","1/4/20"
"Club de Cuervos: Temporada 2: Iglesias contra Iglesias 2","30/3/20"
"Club de Cuervos: Temporada 2: La maldición de la pluma negra","30/3/20"
"Club de Cuervos: Temporada 2: La tregua","30/3/20"
"Club de Cuervos: Temporada 2: La salvadora","30/3/20"
"Club de Cuervos: Temporada 2: El oasis en el desierto","30/3/20"
"Club de Cuervos: Temporada 2: Matahari","30/3/20"
"La casa de papel: Parte 3: La deriva","24/3/20"
"La casa de papel: Parte 3: Pequeñas vacaciones","23/3/20"
"La casa de papel: Parte 3: Todo pareció insignificante","23/3/20"
"La casa de papel: Parte 3: La hora del delfín","22/3/20"
"La casa de papel: Parte 3: Bum, bum, ciao","22/3/20"
"La casa de papel: Parte 3: 48 metros bajo el suelo","22/3/20"
"La casa de papel: Parte 3: Aikido","22/3/20"
"Scary Movie","15/3/20"
"Élite: Temporada 3: Polo","13/3/20"
"Élite: Temporada 3: Nadia y Omar","13/3/20"
"Élite: Temporada 3: Rebeca","13/3/20"
"Élite: Temporada 3: Ander","13/3/20"
"Élite: Temporada 3: Lu","13/3/20"
"Élite: Temporada 2: 0 horas desaparecido","11/3/20"
"Élite: Temporada 2: 84 horas desaparecido","11/3/20"
"Élite: Temporada 2: 66 horas desaparecido","11/3/20"
"No hables con extraños: Temporada 1: Episodio 4","11/2/20"
"No hables con extraños: Temporada 1: Episodio 3","11/2/20"
"No hables con extraños: Temporada 1: Episodio 2","11/2/20"
"No hables con extraños: Temporada 1: Episodio 1","5/2/20"
"Sex Education: Temporada 2: Episodio 8","26/1/20"
"Sex Education: Temporada 2: Episodio 7","26/1/20"
"Sex Education: Temporada 2: Episodio 6","26/1/20"
"Sex Education: Temporada 2: Episodio 5","25/1/20"
"Sex Education: Temporada 2: Episodio 4","24/1/20"
"Sex Education: Temporada 2: Episodio 3","22/1/20"
"Sex Education: Temporada 2: Episodio 2","17/1/20"
"Sex Education: Temporada 2: Episodio 1","17/1/20"
"El Irlandés","12/1/20"
"A los gatos, ni tocarlos: Un asesino en Internet: Miniserie: Estrechando la red","11/1/20"
"A los gatos, ni tocarlos: Un asesino en Internet: Miniserie: Hazte famoso matando","11/1/20"
"Mesías: Temporada 1: Levantamiento","7/1/20"
"The Witcher: Temporada 1: Cuatro marcos","2/1/20"
"The Witcher: Temporada 1: El principio del fin","2/1/20"
"Rick y Morty: Temporada 3: Cadena Rickpetua","2/1/20"
"You: Temporada 2: Un nuevo comienzo","26/12/19"
"The Game Changers","16/11/19"
"What the Health","7/11/19"
"Baby: Temporada 1: Superpoderes","24/10/19"
"Insatiable: Temporada 2: Sé lo más auténtica posible","24/10/19"
"Insatiable: Temporada 2: La femibomba","24/10/19"
"Insatiable: Temporada 2: Miss Preciosa en Prisión","24/10/19"
"Insatiable: Temporada 2: Limpieza de zona","23/10/19"
"Insatiable: Temporada 2: Comer y correr","23/10/19"
"Insatiable: Temporada 2: Buscando a Magnolia","22/10/19"
"Insatiable: Temporada 2: Patty la venenosa","22/10/19"
"Insatiable: Temporada 2: Bumerán","22/10/19"
"Insatiable: Temporada 2: Chica muerta","22/10/19"
"Insatiable: Temporada 2: Cerda","20/10/19"
"3 %: Temporada 2: Capítulo 02: Tostador","2/10/19"
"3 %: Temporada 2: Capítulo 01: Espejo","2/10/19"
"3 %: Temporada 1: Capítulo 08: Botón","30/9/19"
"3 %: Temporada 1: Capítulo 07: Cápsula","27/9/19"
"3 %: Temporada 1: Capítulo 06: Vidrio","26/9/19"
"3 %: Temporada 1: Capítulo 05: Agua","26/9/19"
"3 %: Temporada 1: Capítulo 04: Puerta","24/9/19"
"3 %: Temporada 1: Capítulo 03: Corredor","23/9/19"
"3 %: Temporada 1: Capítulo 02: Monedas","23/9/19"
"3 %: Temporada 1: Capítulo 01: Cubos","21/9/19"
"Descifrando enigma","12/9/19"
"Black Mirror: Temporada 2: El momento Waldo","11/9/19"
"Black Mirror: Temporada 2: Ahora mismo vuelvo","10/9/19"
"Black Mirror: Temporada 1: Toda tu historia","10/9/19"
"Élite: Temporada 2: 63 horas desaparecido","6/9/19"
"Élite: Temporada 2: 59 horas desaparecido","6/9/19"
"Élite: Temporada 2: 36 horas desaparecido","6/9/19"
"Élite: Temporada 2: 34 horas desaparecido","6/9/19"
"Élite: Temporada 2: 20 horas desaparecido","6/9/19"
"Lucifer: Temporada 4: ¿Quién es el nuevo rey del infierno?","3/9/19"
"Lucifer: Temporada 4: Salvar a Lucifer","3/9/19"
"Lucifer: Temporada 4: El novio más cretino","3/9/19"
"Lucifer: Temporada 4: Diablo es el que hace diabluras","3/9/19"
"Lucifer: Temporada 4: Pantalones para orgías al trabajo","3/9/19"
"Lucifer: Temporada 4: Morir erecto","2/9/19"
"Lucifer: Temporada 4: En torno a Eva","2/9/19"
"Lucifer: Temporada 4: Ay, hombre de poca fe, padre","2/9/19"
"Lucifer: Temporada 4: Alguien ha estado leyendo el Infierno de Dante","2/9/19"
"Lucifer: Temporada 4: Todo va bien","2/9/19"
"Lucifer: Temporada 3: Érase una vez","1/9/19"
"Lucifer: Temporada 3: ¡Al cuerno lo normal!","1/9/19"
"Lucifer: Temporada 3: Un diablo de palabra","1/9/19"
"Lucifer: Temporada 3: La esencia de los Deckerstar","1/9/19"
"Lucifer: Temporada 3: Todos con Decker","30/8/19"
"Lucifer: Temporada 3: Todo lo que hace Pierce, yo lo hago mejor","30/8/19"
"Lucifer: Temporada 3: El ángel de San Bernardino","30/8/19"
"Lucifer: Temporada 3: El naranja es el nuevo Maze","29/8/19"
"Lucifer: Temporada 3: El último corazón roto","29/8/19"
"Lucifer: Temporada 3: ¡Que cante la muy boba!","29/8/19"
"Lucifer: Temporada 3: Conejillo de Indias infernal","29/8/19"
"Lucifer: Temporada 3: Tonterías de instituto","29/8/19"
"Lucifer: Temporada 3: El guardián de mi hermano","28/8/19"
"Lucifer: Temporada 3: Hasta que la muerte nos separe","28/8/19"
"Lucifer: Temporada 3: Todo por ella","28/8/19"
"Lucifer: Temporada 3: ¿Ciudad de ángeles?","28/8/19"
"Lucifer: Temporada 3: La jaula de pecados","27/8/19"
